idcode,SMU,SM,PK1,PK2,PK3,ENT1,ENT2,ENT3,ENT4,INT1,INT2,INT3,CUS1,CUS2,CUS3,CUS4,TRE1,TRE2,TRE3,TRE4,WOM1,WOM2,WOM3,WOM4,CPI1,CPI2,CPI3,CPI4,CPI5,CPI6,CPI7,CP18,RB1,RB2,RB3,RB4,RB5,RB6,VI1,VI2,VI3,VI4,VI5,Age
126,1,1,1,1,1,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,4,5,4,5,5,4,5,5,4,5,4,3,4,5,5,4,5,4,5,25
127,1,1,1,1,1,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,25
128,1,1,1,1,1,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,5,4,5,4,25
129,1,2,1,1,1,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,26
130,1,2,1,1,1,4,5,4,5,4,5,4,5,4,5,4,4,5,4,5,3,5,4,4,5,4,5,4,5,4,5,5,4,5,4,5,5,5,5,4,5,5,5,27
131,1,3,1,1,1,4,5,4,5,4,5,2,2,5,4,5,4,4,5,4,4,4,5,5,5,4,5,4,5,4,4,4,5,4,5,4,5,4,5,4,5,4,5,24
132,1,3,1,1,1,5,4,4,5,5,4,5,4,3,5,4,4,5,4,4,3,4,5,4,5,4,4,5,5,4,5,5,5,4,5,5,4,5,5,4,5,4,4,25
133,1,2,1,1,1,5,4,5,4,4,5,4,5,4,5,5,5,4,4,3,4,5,4,4,5,4,5,4,4,4,4,5,5,4,4,5,4,5,4,5,4,5,5,24
134,1,3,1,1,1,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,26
135,1,2,1,1,1,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,4,5,5,4,5,4,5,4,5,4,5,24
